[ 2017-05-03T19:34:13+08:00 ] /JSJD/ | INFO: Tag[ app_begin ] --START--
[ 2017-05-03T19:34:13+08:00 ] /JSJD/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000669s ]
[ 2017-05-03T19:34:13+08:00 ] /JSJD/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001074s ]
[ 2017-05-03T19:34:13+08:00 ] /JSJD/ | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-03T19:34:13+08:00 ] /JSJD/ | SQL: SHOW COLUMNS FROM `czxy_systemconfig` [ RunTime:0.002383s ]
[ 2017-05-03T19:34:13+08:00 ] /JSJD/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-03T19:34:13+08:00 ] /JSJD/ | SQL: SELECT * FROM `czxy_systemconfig` WHERE ( `ckey` = 'rotateimg' )  [ RunTime:0.001975s ]
[ 2017-05-03T19:34:13+08:00 ] /JSJD/ | SQL: SHOW COLUMNS FROM `czxy_news` [ RunTime:0.003667s ]
[ 2017-05-03T19:34:13+08:00 ] /JSJD/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-03T19:34:13+08:00 ] /JSJD/ | SQL: SELECT * FROM `czxy_news` LIMIT 5   [ RunTime:0.000397s ]
[ 2017-05-03T19:34:13+08:00 ] /JSJD/ | SQL: SHOW COLUMNS FROM `czxy_subjectrace` [ RunTime:0.003423s ]
[ 2017-05-03T19:34:13+08:00 ] /JSJD/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-03T19:34:13+08:00 ] /JSJD/ | SQL: SELECT * FROM `czxy_subjectrace` ORDER BY id DESC LIMIT 3   [ RunTime:0.000866s ]
[ 2017-05-03T19:34:13+08:00 ] /JSJD/ | INFO: Tag[ view_template ] --START--
[ 2017-05-03T19:34:13+08:00 ] /JSJD/ | INFO: Run LocationTemplate Behavior [ RunTime:0.006611s ]
