[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | INFO: Tag[ route_check ] --START--
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.002906s ]
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.003534s ]
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | INFO: Tag[ app_begin ] --START--
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000843s ]
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000904s ]
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | NOTIC: [8] Undefined index: sid functions.php 第 441 行.
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | NOTIC: [8] Undefined index: sid functions.php 第 441 行.
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | SQL: SHOW COLUMNS FROM `czxy_systemconfig` [ RunTime:0.004031s ]
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | SQL: SELECT * FROM `czxy_systemconfig` WHERE ( `ckey` = 'rotateimg' )  [ RunTime:0.002521s ]
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | SQL: SHOW COLUMNS FROM `czxy_stuinfo` [ RunTime:0.003387s ]
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | SQL: SELECT `face` FROM `czxy_stuinfo` WHERE ( `id` = null ) LIMIT 1   [ RunTime:0.000223s ]
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | SQL: SHOW COLUMNS FROM `czxy_departinfo` [ RunTime:0.002988s ]
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | SQL: SELECT `id`,`departname` FROM `czxy_departinfo`  [ RunTime:0.000228s ]
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | SQL: SHOW COLUMNS FROM `czxy_news` [ RunTime:0.003921s ]
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | SQL: SELECT * FROM `czxy_news` LIMIT 5   [ RunTime:0.000289s ]
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | SQL: SHOW COLUMNS FROM `czxy_subjectrace` [ RunTime:0.002349s ]
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | SQL: SELECT * FROM `czxy_subjectrace` ORDER BY id DESC LIMIT 3   [ RunTime:0.000235s ]
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | INFO: Tag[ view_template ] --START--
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001227s ]
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001274s ]
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | INFO: Tag[ view_parse ] --START--
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | NOTIC: [2] file_get_contents(./Index/Tpl/Public/top.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | NOTIC: [2] file_get_contents(./Index/Tpl/Public/luenhuan.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | NOTIC: [2] file_get_contents(./Index/Tpl/Public/footer.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-03T08:44:05+08:00 ] /JSJD/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
