[ 2017-05-29T15:52:01+08:00 ] /JSJD/index.php/js/jquery.bxslider.min.js | ERR: (ThinkException) 无法加载模块js
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | INFO: Tag[ route_check ] --START--
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | INFO: Run CheckRoute Behavior [ RunTime:0.000875s ]
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000956s ]
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | INFO: Tag[ app_begin ] --START--
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000358s ]
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000399s ]
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | SQL: SHOW COLUMNS FROM `czxy_systemconfig` [ RunTime:0.002335s ]
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | SQL: SELECT * FROM `czxy_systemconfig` WHERE ( `ckey` = 'rotateimg' )  [ RunTime:0.000495s ]
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | INFO: Tag[ view_template ] --START--
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000245s ]
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000286s ]
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | INFO: Tag[ view_parse ] --START--
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [2] file_get_contents(./Index/Tpl/Public/top.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [2] file_get_contents(./Index/Tpl/Public/luenhuan.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [2] file_get_contents(./Index/Tpl/Public/footer.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-29T15:52:02+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
